Timestamp,Title,Journal,Publication Year,Authors,Field,Link
,Irrigation-expansion-induced impacts model-intercomparison project (IRRMIP),,2023,"Yao, Yi; Aas, Kjetil Schanke; Obando, Pedro Arboleda; Bentsen, Mats; Chen, Liang; Cook, Benjamin; Devaraju, Narayanappa; Ducharne, Agnès; Gosling, Simon; Hartley, Andrew;",,https://meetingorganizer.copernicus.org/EGU23/EGU23-14584.html
,Anthropogenic Fingerprint on Recent Changes in Typhoon Heavy Rainfall beyond Tipping-Point,,2023,"Kim, Hyungjun; Utsumi, Nobuyuki;",,https://meetingorganizer.copernicus.org/EGU23/EGU23-5392.html
,Anthropogenic Intensification of East Asia Summer Monsoon Frontal Precipitation System,,2023,"Moon, Suyeon; Utsumi, Nobuyuki; Jeong, Jee-Hoon; Yoon, Jin-Ho; Wang, S-Y Simon; Shiogama, Hideo; Kim, Hyungjun;",,https://meetingorganizer.copernicus.org/EGU23/EGU23-10686.html
,Multi-Task Learning for Simultaneous Retrievals of Passive Microwave Precipitation Estimates and Rain/No-Rain Classification,Geophysical Research Letters,2023,"Bannai, T., Xu, H., Utsumi, N., Koo, E., Lu, K., Kim, H.",5.576,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153358816&doi=10.1029%2f2022GL102283&partnerID=40&md5=cf7f481e0b8f1ef4534d27b19a7ff84c
,The timing of unprecedented hydrological drought under climate change,Nature Communications,2022,"Satoh, Y., Yoshimura, K., Pokhrel, Y., Kim, H., Shiogama, H., Yokohata, T., Hanasaki, N., Wada, Y., Burek, P., Byers, E., Schmied, H.M., Gerten, D., Ostberg, S., Gosling, S.N., Boulange, J.E.S., Oki, T.",17.694,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132971253&doi=10.1038%2fs41467-022-30729-2&partnerID=40&md5=b508959ceb2dd628932b69912d6988cf
,Observed influence of anthropogenic climate change on tropical cyclone heavy rainfall,Nature Climate Change,2022,"Utsumi, N., Kim, H.",28.862,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129037992&doi=10.1038%2fs41558-022-01344-2&partnerID=40&md5=46af24487bc5900f6fa1af04b0213519
,Emergent constraints on future precipitation changes,Nature,2022,"Shiogama, H., Watanabe, M., Kim, H., Hirota, N.",69.504,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125155291&doi=10.1038%2fs41586-021-04310-8&partnerID=40&md5=3e4193d863d96e22f1aeb00677405511
,Impacts of Anthropogenic Heat and Building Height on Urban Precipitation Over the Seoul Metropolitan area in Regional Climate Modeling,Journal of Geophysical Research: Atmospheres,2021,"Kim, G., Cha, D.-H., Song, C.-K., Kim, H.",5.217,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120813545&doi=10.1029%2f2021JD035348&partnerID=40&md5=26754acb633c8273b8b8ea734e4a5553
,GMD perspective: The quest to improve the evaluation of groundwater representation in continental-to global-scale models,Geoscientific Model Development,2021,"Gleeson, T., Wagener, T., Döll, P., Zipper, S.C., West, C., Wada, Y., Taylor, R., Scanlon, B., Rosolem, R., Rahman, S., Oshinlaja, N., Maxwell, R., Lo, M.-H., Kim, H., Hill, M., Hartmann, A., Fogg, G., Famiglietti, J.S., Ducharne, A., De Graaf, I., Cuthbert, M., Condon, L., Bresciani, E., Bierkens, M.F.P.",6.892,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121678371&doi=10.5194%2fgmd-14-7545-2021&partnerID=40&md5=fee5c72a437ee1dc9154cf7dde106517
,"Midlatitude mixed-phase stratocumulus clouds and their interactions with aerosols: how ice processes affect microphysical, dynamic, and thermodynamic development in those clouds and interactions?",Atmospheric Chemistry and Physics,2021,"Lee, S.S., Ha, K.-J., Manoj, M.G., Kamruzzaman, M., Kim, H., Utsumi, N., Zheng, Y., Kim, B.-G., Jung, C.H., Um, J., Guo, J., Choi, K.O., Kim, G.-U.",7.197,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119960203&doi=10.5194%2facp-21-16843-2021&partnerID=40&md5=58c38744116d027625cc53bebaf5c5fd
,Development of a coupled simulation framework representing the lake and river continuum of mass and energy (TCHOIR v1.0),Geoscientific Model Development,2021,"Tokuda, D., Kim, H., Yamazaki, D., Oki, T.",6.892,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115098156&doi=10.5194%2fgmd-14-5669-2021&partnerID=40&md5=df84a9d058b679c7bd5fa2e271300a72
,Recurrent pattern of extreme fire weather in California,Environmental Research Letters,2021,"Son, R., Wang, S.-Y.S., Kim, S.H., Kim, H., Jeong, J.-H., Yoon, J.-H.",6.947,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114794964&doi=10.1088%2f1748-9326%2fac1f44&partnerID=40&md5=57be33548799edfced0bdbb33ee1a6c8
,Empirical strategy for stretching probability distribution in neural-network-based regression,Neural Networks,2021,"Koo, E., Kim, H.",9.657,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102901808&doi=10.1016%2fj.neunet.2021.02.030&partnerID=40&md5=e183337938faaec51815f1ddbb0170c1
,Vapor Pressure Deficit and Sunlight Explain Seasonality of Leaf Phenology and Photosynthesis Across Amazonian Evergreen Broadleaved Forest,Global Biogeochemical Cycles,2021,"Chen, X., Ciais, P., Maignan, F., Zhang, Y., Bastos, A., Liu, L., Bacour, C., Fan, L., Gentine, P., Goll, D., Green, J., Kim, H., Li, L., Liu, Y., Peng, S., Tang, H., Viovy, N., Wigneron, J.-P., Wu, J., Yuan, W., Zhang, H.",6.5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108621702&doi=10.1029%2f2020GB006893&partnerID=40&md5=a4f02ccf6ff3dd4df1ea4766ef5959a7
,Changes in fire weather climatology under 1.5 ◦C and 2.0 ◦C warming,Environmental Research Letters,2021,"Son, R., Kim, H., Wang, S.-Y., Jeong, J.-H., Woo, S.-H., Jeong, J.-Y., Lee, B.-D., Kim, S.H., LaPlante, M., Kwon, C.-G., Yoon, J.-H.",6.947,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102407848&doi=10.1088%2f1748-9326%2fabe675&partnerID=40&md5=3b266e9873523fe57cef0b1f65926a82
,Global terrestrial water storage and drought severity under climate change,Nature Climate Change,2021,"Pokhrel, Y., Felfelani, F., Satoh, Y., Boulange, J., Burek, P., Gädeke, A., Gerten, D., Gosling, S.N., Grillakis, M., Gudmundsson, L., Hanasaki, N., Kim, H., Koutroulis, A., Liu, J., Papadimitriou, L., Schewe, J., Müller Schmied, H., Stacke, T., Telteu, C.-E., Thiery, W., Veldkamp, T., Zhao, F., Wada, Y.",28.862,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100196380&doi=10.1038%2fs41558-020-00972-w&partnerID=40&md5=4af981631ed777cc45ccdd8902647198
,Scientific and human errors in a snow model intercomparison,Bulletin of the American Meteorological Society,2021,"Menard, C.B., Essery, R., Krinner, G., Arduini, G., Bartlett, P., Boone, A., Brutel-Vuilmet, C., Burke, E., Cuntz, M., Dai, Y., Decharme, B., Dutra, E., Fang, X., Fierz, C., Gusev, Y., Hagemann, S., Haverd, V., Kim, H., Lafaysse, M., Marke, T., Nasonova, O., Nitta, T., Niwano, M., Pomeroy, J., Schädler, G., Semenov, V.A., Smirnova, T., Strasser, U., Swenson, S., Turkov, D., Wever, N., Yuan, H.",9.116,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098224845&doi=10.1175%2fBAMS-D-19-0329.1&partnerID=40&md5=d063fc92951c4f90797f361eca4783a6
,Snow cover duration trends observed at sites and predicted by multiple models,Cryosphere,2020,"Essery, R., Kim, H., Wang, L., Bartlett, P., Boone, A., Brutel-Vuilmet, C., Burke, E., Cuntz, M., Decharme, B., Dutra, E., Fang, X., Gusev, Y., Hagemann, S., Haverd, V., Kontu, A., Krinner, G., Lafaysse, M., Lejeune, Y., Marke, T., Marks, D., Marty, C., Menard, C.B., Nasonova, O., Nitta, T., Pomeroy, J., Schädler, G., Semenov, V., Smirnova, T., Swenson, S., Turkov, D., Wever, N., Yuan, H.",5.805,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098206631&doi=10.5194%2ftc-14-4687-2020&partnerID=40&md5=6e431f48b18f6eec55ee727bc76071ac
